DIVERTER WHEEL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ITEM CODE,DIA,WIDTH,NO.OF GROOVES,ROPE DIAMETER,PITCH,"BEARING
(MAKE-FAG)",Material ,Shaft Diameter,RATED LOAD,,,,,SHAFT DETAILS,,
,,,,,,,,,,,,,,SHAFT OUTER DIAMETER,SHAFT GROOVE DISTANCE,SHAFT LENGTH
,"A
(mm)","L
(mm)",N,"RD
(mm)","P
(mm)",,,"ØB
(mm)",kg,,,,,,,
,,,,,,,,,,,,,,ØB,J,K
  BM-500_083_04G_10B,500,83,4,10,16,6212ZZ,SG 600/3,Ø60,4300,,,,,,,
  BM-500_083_04G_10B,500,83,4,10,16,6214ZZ,SG 600/3,Ø70,4300,,,,,,,
  BM-500_083_05G_10B,500,83,5,10,16,6212ZZ,SG 600/3,Ø60,5400,,,,,,,
  BM-500_083_05G_10B,500,83,5,10,16,6214ZZ,SG 600/3,Ø70,5400,,,,,,,
  BM-500_083_04G_13B,500,83,4,13,19,6212ZZ,SG 600/3,Ø60,5700,,,,,,,
  BM-500_083_04G_13B,500,83,4,13,19,6214ZZ,SG 600/3,Ø70,7200,,,,,,,
*BM-500_135_09G_08B,500,135,9,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-500_135_09G_08B,500,135,9,8,12,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-500_135_10G_08B,500,135,10,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-500_135_10G_08B,500,135,10,8,12,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-500_120_07G_10B,500,120,7,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-500_120_07G_10B,500,120,7,10,16,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-500_135_08G_10B,500,135,8,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-500_135_08G_10B,500,135,8,10,16,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-500_120_05G_13B,500,120,5,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-500_120_05G_13B,500,120,5,13,19,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-500_135_06G_13B,500,135,6,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-500_135_06G_13B,500,135,6,13,19,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-500_124_05G_16B,500,124,5,16,23,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-500_124_05G_16B,500,124,5,16,23,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-530_120_09G_08B,530,120,9,8,12,6312ZZ,FG 260,Ø60,6500,,,,,,,
*BM-530_120_09G_08B,530,120,9,8,12,6214ZZ,FG 260,Ø70,6500,,,,,,,
*BM-530_120_06G_10B,530,120,6,10,16,6312ZZ,FG 260,Ø60,6500,,,,,,,
*BM-530_120_06G_10B,530,120,6,10,16,6214ZZ,FG 260,Ø70,6500,,,,,,,
*BM-530_120_07G_10B,530,120,7,10,16,6312ZZ,FG 260,Ø60,7600,,,,,,,
*BM-530_120_07G_10B,530,120,7,10,16,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-530_120_05G_13B,530,120,5,13,19,6312ZZ,FG 260,Ø60,8300,,,,,,,
*BM-530_120_05G_13B,530,120,5,13,19,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-530_120_06G_13B,530,120,6,13,19,6312ZZ,FG 260,Ø60,8300,,,,,,,
*BM-530_120_06G_13B,530,120,6,13,19,6214ZZ,FG 260,Ø70,7200,,,,,,,
*BM-530_160_11G_08B,530,160,11,8,12,6312ZZ,FG 260,Ø60,8000,,,,,,,
*BM-530_160_11G_08B,530,160,11,8,12,6314ZZ,FG 260,Ø70,8000,,,,,,,
*BM-530_160_12G_08B,530,160,12,8,12,6312ZZ,FG 260,Ø60,8300,,,,,,,
*BM-530_160_12G_08B,530,160,12,8,12,6314ZZ,FG 260,Ø70,8700,,,,,,,
*BM-530_160_09G_10B,530,160,9,10,16,6312ZZ,FG 260,Ø60,8300,,,,,,,
*BM-530_160_09G_10B,530,160,9,10,16,6314ZZ,FG 260,Ø70,9800,,,,,,,
*BM-530_160_07G_13B,530,160,7,13,19,6312ZZ,FG 260,Ø60,8300,,,,,,,
*BM-530_160_07G_13B,530,160,7,13,19,6314ZZ,FG 260,Ø70,10800,,,,,,,
*BM-530_160_08G_13B,530,160,8,13,19,6312ZZ,FG 260,Ø60,8300,,,,,,,
*BM-530_160_08G_13B,530,160,8,13,19,6314ZZ,FG 260,Ø70,10800,,,,,,,
