Grooves Section,PRODUCT CODE,PCD,NO OF GROOVES,BUSH,TYPE,Outside,Max. Bore,,L,N,M
,,,,,,OD,Metric,Inch,,,
A,BM-3A-71-T6FG*,71,3,1108,6,80.6,28,"1⅛""",50,27.8,-
A,BM-1A-75-T1FG*,75,1,1108,1,80.6,28,"1⅛""",20,2.2,-
A,BM-2A-75-T6FG*,75,2,1108,6,80.6,28,"1⅛""",35,12.8,-
A,BM-3A-75-T6FG*,75,3,1210,6,85.6,32,"1¼""",50,24.6,-
A,BM-1A-80-T1FG*,80,1,1108,1,85.6,28,"1⅛""",20,2.2,-
A,BM-2A-80-T6FG*,80,2,1108,6,85.6,28,"1⅛""",35,12.8,-
A,BM-3A-80-T6FG*,80,3,1210,6,85.6,32,"1¼""",50,24.6,-
A,BM-4A-80-T6FG,80,4,1215,6,85.6,32,"1¼""",65,25,-
A,BM-5A-80-T6FG,80,5,1215,6,90.6,32,"1¼""",80,40,-
A,BM-1A-85-T1FG*,85,1,1108,1,90.6,28,"1⅛""",20,2.2,-
A,BM-2A-85-T6FG*,85,2,1108,6,90.6,28,"1⅛""",35,12.8,-
A,BM-3A-85-T6FG*,85,3,1210,6,90.6,32,"1¼""",50,24.6,-
A,BM-4A-85-T6FG,85,4,1215,6,90.6,32,"1¼""",65,25,-
A,BM-5A-85-T6FG,85,5,1215,6,95.6,32,"1¼""",80,40,-
A,BM-1A-90-T1FG*,90,1,1108,1,95.6,28,"1⅛""",20,2.2,-
A,BM-2A-90-T6FG*,90,2,1108,6,95.6,28,"1⅛""",35,12.8,-
A,BM-3A-90-T6FG*,90,3,1610,6,95.6,42,"1⅝""",50,24.6,-
A,BM-4A-90-T3FG,90,4,1615,3,95.6,42,"1⅝""",65,-,-
A,BM-5A-90-T3FG,90,5,1615,3,95.6,42,"1⅝""",80,-,-
,,,,,,,,,,,
A,BM-1A-95-T1FG*,95,1,1210,1,100.6,32,"1¼""",20,5.4,-
A,BM-2A-95-T6FG*,95,2,1610,6,100.6,42,"1⅝""",35,9.6,-
A,BM-3A-95-T6FG*,95,3,1610,6,100.6,42,"1⅝""",50,24.6,-
A,BM-4A-95-T3FG,95,4,1615,3,100.6,42,"1⅝""",65,-,-
A,BM-5A-95-T3FG,95,5,1615,3,100.6,42,"1⅝""",80,-,-
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
