,“PYB” Poly-V “J”,,,,,,,,,
section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
L,,20,4,3020,52,26.5,-,126,-,105
L,160,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,136,-,48
L,,10,4,2517,45,6,-,136,-,57
L,,12,4,2517,45,11,-,136,-,67
L,,16,4,3020,52,17,-,136,-,86
L,,20,4,3020,52,26.5,-,136,-,105
L,170,6,8,2517,45,6.5,120,146,-,38.5
L,,8,2,2517,45,3,-,146,-,48
L,,10,4,2517,45,6,-,146,-,57
L,,12,4,2517,45,11,-,146,-,67
L,,16,4,3020,52,17,-,146,-,86
L,,20,4,3020,52,26.5,-,146,-,105
L,180,6,6,2517,45,3.25,120,156,-,38.5
L,,8,5,2517,45,1.5,120,156,-,48
L,,10,5,2517,45,6,120,156,-,57
L,,12,5,2517,45,11,120,156,-,67
L,,16,4,3020,52,17,-,156,-,86
L,,20,4,3020,52,26.5,-,156,-,105
L,190,6,6,2517,45,3.25,120,166,-,38.5
L,,8,5,2517,45,1.5,120,166,-,48
L,,10,5,2517,45,6,120,166,-,57
L,,12,5,2517,45,11,120,166,-,67
L,,16,4,3020,52,17,146,166,-,86
L,,20,4,3020,52,26.5,146,166,-,105
L,200,6,6,2517,45,3.25,120,176,-,38.5
L,,8,5,2517,45,1.5,120,176,-,48
L,,10,4,3020,52,2.5,146,176,-,57
L,,12,4,3020,52,7.5,146,176,-,67
L,,16,4,3020,52,17,146,176,-,86
L,,20,4,3535,89,8,-,176,-,105
L,212,6,6,2517,45,3.25,120,188,-,38.5
L,,8,5,2517,45,1.5,120,188,-,48
L,,10,4,3020,52,2.5,146,188,-,57
L,,12,4,3020,52,7.5,146,188,-,67
L,,16,4,3020,52,17,146,188,-,86
L,,20,4,3535,89,8,-,188,-,105
L,224,6,6,2517,45,3.25,120,202,-,38.5
L,,8,5,2517,45,1.5,120,202,-,48
L,,10,5,3020,52,2.5,146,202,-,57
L,,12,5,3020,52,7.5,146,202,-,67
L,,16,5,3020,52,17,146,202,-,86
L,,20,5,3535,89,8,178,202,-,105
L,236,6,6,2517,45,3.25,120,214,-,38.5
L,,8,5,2517,45,1.5,120,214,-,48
L,,10,5,3020,52,2.5,146,214,-,57
L,,12,5,3020,52,7.5,146,214,-,67
L,,16,5,3020,52,17,146,214,-,86
L,,20,5,3535,89,8,178,214,-,105
L,,,,,,,,,,
L,» “PYB” Poly-V “L”,,,,,,,,,
L,,,,,,,,,,
L,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,250,6,9,2517,45,3.25,120,228,-,38.5
L,,8,5,2517,45,1.5,120,228,-,48
L,,10,5,3020,52,2.5,146,228,-,57
L,,12,5,3020,52,7.5,146,228,-,67
L,,16,5,3020,52,17,146,228,-,86
L,,20,5,3535,89,8,178,226,-,105
L,280,6,9,2517,45,3.25,120,256,-,38.5
L,,8,6,3020,52,2,146,256,-,48
L,,10,5,3020,52,2.5,146,256,-,57
L,,12,5,3020,52,7.5,146,256,-,67
L,,16,6,3535,89,1.5,178,256,-,86
L,,20,5,3535,89,8,178,256,-,105
L,315,6,9,2517,45,3.25,120,285,-,38.5
L,,8,9,3020,52,2,146,285,-,48
L,,10,6,3535,89,16,178,285,-,57
L,,12,6,3535,89,11,178,285,-,67
L,,16,6,3535,89,1.5,178,285,-,86.0
L,,20,5,4040,102,1.5,215,285,-,105
L,355,6,9,3020,52,6.75,146,325,-,38.5
L,,8,9,3020,52,2,146,325,-,48
L,,10,9,3535,89,16,178,325,-,57
L,,12,9,3535,89,11,178,325,-,67
L,,16,9,3535,89,1.5,178,325,-,86
L,,20,5,4040,102,1.5,215,325,-,105
L,400,6,9,3020,52,6.75,146,370,-,38.5
L,,8,9,3020,52,2,146,370,-,48
L,,,,,,,,,-,
L,,10,9,3535,89,16,178,370,-,57
L,,12,9,3535,89,11,178,370,-,67
L,,16,9,3535,89,1.5,178,370,-,86
L,,20,10,4040,102,1.5,215,370,-,105
L,450,6,9,3020,52,6.75,146,420,-,38.5
L,,8,9,3020,52,2,146,420,-,48
L,,10,9,3535,89,16,178,420,-,57
L,,12,9,3535,89,11,178,420,-,67
L,,16,9,3535,89,1.5,178,420,-,86
L,,20,10,4040,102,1.5,215,420,-,105
L,500,6,9,3020,52,6.75,146,470,-,38.5
L,,8,9,3020,52,2,146,470,-,48
L,,10,9,3535,89,16,178,470,-,57
L,,12,9,3535,89,11,178,470,-,67
L,,16,9,3535,89,1.5,178,470,-,86
L,,20,9,5050,127,11,267,470,-,105
L,630,6,9,3020,52,6.75,146,600,-,38.5
L,,8,9,3020,52,2,146,600,-,48
L,,10,9,3535,89,16,178,600,-,57
L,,12,9,3535,89,11,178,600,-,67
L,,16,9,4040,102,8,215,600,-,86
