5MM PITCH HIGH TORQUE PULLEYS (15MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
112-14-40,14,40,112,8,3020,75,3,499.11,496.32,-,54,460,1.5,51,1.5,159,,,
144-14-40,14,40,144,8,3020,75,3,641.71,638.92,-,54,600,1.5,51,1.5,159,,,
168-14-40,14,40,168,8,3020,75,3,748.66,745.87,-,54,706,1.5,51,1.5,159,,,
192-14-40,14,40,192,8,3020,75,3,855.62,852.82,-,54,812,1.5,51,1.5,159,,,
,,,,,,,,,,,,,,,,,,,
14MM PITCH HIGH TORQUE PULLEYS (55MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
28-14-55,14,55,28,6F,2012,50,2,124.78,122.12,141,70,90,19,32,19,-,,,
29-14-55,14,55,29,6F,2012,50,2,129.23,126.57,141,70,91,19,32,19,-,,,
30-14-55,14,55,30,6F,2517,60,2 1/2,133.69,130.99,141,70,98,12.5,45,12.5,-,,,
32-14-55,14,55,32,6F,2517,60,2 1/2,142.6,139.88,156,70,100,12.5,45,12.5,-,,,
34-14-55,14,55,34,6F,2517,60,2 1/2,151.51,148.79,156,70,109,12.5,45,12.5,-,,,
36-14-55,14,55,36,5F,2517,60,2 1/2,160.43,157.68,169,70,117,0,45,2.5,-,,,
38-14-55,14,55,38,5F,2517,60,2 1/2,169.34,166.6,183,70,126,0,45,2.5,-,,,
40-14-55,14,55,40,6F,2517,60,2 1/2,178.25,175.49,197,70,135,12.5,45,12.5,-,,,
44-14-55,14,55,44,6F,3020,75,3,196.08,193.28,211,70,153,9.5,51,9.5,-,,,
48-14-55,14,55,48,6F,3020,75,3,213.9,211.11,226,70,171,9.5,51,9.5,-,,,
56-14-55,14,55,56,6F,3020,75,3,249.55,246.76,267,70,207,9.5,51,9.5,-,,,
64-14-55,14,55,64,7F,3020,75,3,285.21,282.41,297,70,242,9.5,51,9.5,159,,,
72-14-55,14,55,72,8,3020,75,3,320.86,318.06,-,70,278,9.5,51,9.5,159,,,
80-14-55,14,55,80,8,3020,75,3,356.51,353.71,-,70,314,9.5,51,9.5,159,,,
90-14-55,14,55,90,8,3020,75,3,401.07,398.28,-,70,358,9.5,51,9.5,159,,,
112-14-55,14,55,112,8,3020,75,3,499.11,496.32,-,70,456,9.5,51,9.5,159,,,
144-14-55,14,55,144,8,3020,75,3,641.71,638.92,-,70,600,9.5,51,9.5,159,,,
168-14-55,14,55,168,8,3020,75,3,748.66,745.87,-,70,706,9.5,51,9.5,159,,,
192-14-55,14,55,192,8,3020,75,3,855.62,852.82,-,70,812,9.5,51,9.5,159,,,
,,,,,,,,,,,,,,,,,,,
14MM PITCH HIGH TORQUE PULLEYS (85MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
28-14-85,14,85,28,6F,2517,60,2 1/2,124.78,122.12,141,102,98,27.5,45,27.5,-,,,
29-14-85,14,85,29,6F,2517,60,2 1/2,129.23,126.57,141,102,98,27.5,45,27.5,-,,,
30-14-85,14,85,30,6F,2517,60,2 1/2,133.69,130.99,141,102,100,27.5,45,27.5,-,,,
32-14-85,14,85,32,6F,2517,60,2 1/2,142.6,139.88,156,102,100,27.5,45,27.5,-,,,
34-14-85,14,85,34,6F,2517,60,2 1/2,151.51,148.79,156,102,109,25.5,45,27.5,-,,,
36-14-85,14,85,36,6F,3020,75,3,160.43,157.68,169,102,123,25.5,51,25.5,-,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
38-14-85,14,85,38,6F,3020,75,3,169.34,166.6,183,102,126,25.5,51,25.5,-,,,
40-14-85,14,85,40,6F,3020,75,3,178.25,175.49,197,102,135,25.5,51,25.5,-,,,
44-14-85,14,85,44,6F,3020,75,3,196.08,193.28,211,102,153,25.5,51,25.5,-,,,
48-14-85,14,85,48,6F,3020,75,4,213.9,211.11,226,102,171,25.5,51,25.5,-,,,
56-14-85,14,85,56,6F,3525,100,4,249.55,246.76,267,102,207,18.5,65,18.5,-,,,
64-14-85,14,85,64,6F,3525,100,4,285.21,282.41,297,102,242,18.5,65,18.5,-,,,
72-14-85,14,85,72,7,3525,100,4,320.86,318.06,-,102,278,18.5,65,18.5,178,,,
80-14-85,14,85,80,7,3525,100,4,356.51,353.71,-,102,314,18.5,65,18.5,178,,,
90-14-85,14,85,90,8,3525,100,4,401.07,398.28,-,102,358,18.5,65,18.5,178,,,
112-14-85,14,85,112,8,3525,100,4,499.11,496.32,-,102,456,18.5,65,18.5,178,,,
144-14-85,14,85,144,8,3525,100,4,641.71,638.92,-,102,600,18.5,65,18.5,206,,,
168-14-85,14,85,168,8,3525,100,4,748.66,745.87,-,102,706,18.5,65,18.5,206,,,
192-14-85,14,85,192,8,4030,115,4 1/2,855.62,852.82,-,102,812,13,76,13,216,,,
